Entry,Anode/Cathode,Solvent,Electrolyte,Current/Potential
48,GF/Pt,AcOH: TFE(1: 1),nBu4NPF6,0.3 mA
49,GF/Pt,AcOH: TFE(1: 1),nBu4NPF6,0.9 mA
50,GF/Pt,AcOH: TFE(1: 1),nBu4NPF6,1.2 mA
51,GF/Pt,AcOH: TFE(1: 1),nBu4NPF6,1.0 V
52,GF/Pt,AcOH: TFE(1: 1),nBu4NPF6,1.5 V
53,GF/Pt,AcOH: TFE(1: 1),nBu4NPF6,0.6 mA
54,GF/Pt,EtOH,NaOPiv,0.3 mA
55,GF/Pt,EtOH,NaOPiv,0.9 mA
56,GF/Pt,EtOH,NaOPiv,1.2 mA
57,GF/Pt,EtOH,NaOPiv,1.0 V
58,GF/Pt,EtOH,NaOPiv,1.5 V
59,GF/Pt,EtOH,NaOPiv,0.6 mA
60,GF/Pt,EtOH,K3PO4,0.3 mA
61,GF/Pt,EtOH,K3PO4,0.9 mA
62,GF/Pt,EtOH,K3PO4,1.2 mA
63,GF/Pt,EtOH,K3PO4,1.0 V
64,GF/Pt,EtOH,K3PO4,1.5 V
65,GF/Pt,EtOH,K3PO4,0.6 mA
66,GF/Pt,EtOH,KOAc,0.3 mA
67,GF/Pt,EtOH,KOAc,0.9 mA
68,GF/Pt,EtOH,KOAc,1.2 mA
69,GF/Pt,EtOH,KOAc,1.0 V
70,GF/Pt,EtOH,KOAc,1.5 V
71,GF/Pt,EtOH,KOAc,0.6 mA
72,GF/Pt,EtOH,LiClO4,0.3 mA
73,GF/Pt,EtOH,LiClO4,0.9 mA
74,GF/Pt,EtOH,LiClO4,1.2 mA
75,GF/Pt,EtOH,LiClO4,1.0 V
76,GF/Pt,EtOH,LiClO4,1.5 V
77,GF/Pt,EtOH,LiClO4,0.6 mA
78,GF/Pt,EtOH,LiOAc,0.3 mA
79,GF/Pt,EtOH,LiOAc,0.9 mA
80,GF/Pt,EtOH,LiOAc,1.2 mA
81,GF/Pt,EtOH,LiOAc,1.0 V
82,GF/Pt,EtOH,LiOAc,1.5 V
83,GF/Pt,EtOH,LiOAc,0.6 mA
84,GF/Pt,EtOH,NaO2CAd,0.3 mA
85,GF/Pt,EtOH,NaO2CAd,0.9 mA
86,GF/Pt,EtOH,NaO2CAd,1.2 mA
87,GF/Pt,EtOH,NaO2CAd,1.0 V
88,GF/Pt,EtOH,NaO2CAd,1.5 V
89,GF/Pt,EtOH,NaO2CAd,0.6 mA
90,GF/Pt,EtOH,NaOAc,0.3 mA
91,GF/Pt,EtOH,NaOAc,0.9 mA
92,GF/Pt,EtOH,NaOAc,1.2 mA
93,GF/Pt,EtOH,NaOAc,1.0 V
94,GF/Pt,EtOH,NaOAc,1.5 V
95,GF/Pt,EtOH,NaOAc,0.6 mA
96,GF/Pt,EtOH,nBu4NOAc,0.3 mA
97,GF/Pt,EtOH,nBu4NOAc,0.9 mA
98,GF/Pt,EtOH,nBu4NOAc,1.2 mA
99,GF/Pt,EtOH,nBu4NOAc,1.0 V
100,GF/Pt,EtOH,nBu4NOAc,1.5 V
101,GF/Pt,EtOH,nBu4NOAc,0.6 mA
102,GF/Pt,EtOH,nBu4NPF6,0.3 mA
103,GF/Pt,EtOH,nBu4NPF6,0.9 mA
104,GF/Pt,EtOH,nBu4NPF6,1.2 mA
105,GF/Pt,EtOH,nBu4NPF6,1.0 V
106,GF/Pt,EtOH,nBu4NPF6,1.5 V
107,GF/Pt,EtOH,nBu4NPF6,0.6 mA
108,GF/Pt,EtOH: MeCN(1: 1),NaOPiv,0.3 mA
109,GF/Pt,EtOH: MeCN(1: 1),NaOPiv,0.9 mA
110,GF/Pt,EtOH: MeCN(1: 1),NaOPiv,1.2 mA
111,GF/Pt,EtOH: MeCN(1: 1),NaOPiv,1.0 V
112,GF/Pt,EtOH: MeCN(1: 1),NaOPiv,1.5 V
113,GF/Pt,EtOH: MeCN(1: 1),NaOPiv,0.6 mA
114,GF/Pt,EtOH: MeCN(1: 1),K3PO4,0.3 mA
115,GF/Pt,EtOH: MeCN(1: 1),K3PO4,0.9 mA
116,GF/Pt,EtOH: MeCN(1: 1),K3PO4,1.2 mA
117,GF/Pt,EtOH: MeCN(1: 1),K3PO4,1.0 V
118,GF/Pt,EtOH: MeCN(1: 1),K3PO4,1.5 V
119,GF/Pt,EtOH: MeCN(1: 1),K3PO4,0.6 mA
120,GF/Pt,EtOH: MeCN(1: 1),KOAc,0.3 mA
121,GF/Pt,EtOH: MeCN(1: 1),KOAc,0.9 mA
122,GF/Pt,EtOH: MeCN(1: 1),KOAc,1.2 mA
123,GF/Pt,EtOH: MeCN(1: 1),KOAc,1.0 V
124,GF/Pt,EtOH: MeCN(1: 1),KOAc,1.5 V
125,GF/Pt,EtOH: MeCN(1: 1),KOAc,0.6 mA
126,GF/Pt,EtOH: MeCN(1: 1),LiClO4,0.3 mA
127,GF/Pt,EtOH: MeCN(1: 1),LiClO4,0.9 mA
128,GF/Pt,EtOH: MeCN(1: 1),LiClO4,1.2 mA
129,GF/Pt,EtOH: MeCN(1: 1),LiClO4,1.0 V
130,GF/Pt,EtOH: MeCN(1: 1),LiClO4,1.5 V
131,GF/Pt,EtOH: MeCN(1: 1),LiClO4,0.6 mA
132,GF/Pt,EtOH: MeCN(1: 1),LiOAc,0.3 mA
133,GF/Pt,EtOH: MeCN(1: 1),LiOAc,0.9 mA
134,GF/Pt,EtOH: MeCN(1: 1),LiOAc,1.2 mA
135,GF/Pt,EtOH: MeCN(1: 1),LiOAc,1.0 V
136,GF/Pt,EtOH: MeCN(1: 1),LiOAc,1.5 V
137,GF/Pt,EtOH: MeCN(1: 1),LiOAc,0.6 mA
138,GF/Pt,EtOH: MeCN(1: 1),NaO2CAd,0.3 mA
139,GF/Pt,EtOH: MeCN(1: 1),NaO2CAd,0.9 mA
140,GF/Pt,EtOH: MeCN(1: 1),NaO2CAd,1.2 mA
141,GF/Pt,EtOH: MeCN(1: 1),NaO2CAd,1.0 V
142,GF/Pt,EtOH: MeCN(1: 1),NaO2CAd,1.5 V
143,GF/Pt,EtOH: MeCN(1: 1),NaO2CAd,0.6 mA
144,GF/Pt,EtOH: MeCN(1: 1),NaOAc,0.3 mA
145,GF/Pt,EtOH: MeCN(1: 1),NaOAc,0.9 mA
146,GF/Pt,EtOH: MeCN(1: 1),NaOAc,1.2 mA
147,GF/Pt,EtOH: MeCN(1: 1),NaOAc,1.0 V
148,GF/Pt,EtOH: MeCN(1: 1),NaOAc,1.5 V
149,GF/Pt,EtOH: MeCN(1: 1),NaOAc,0.6 mA
150,GF/Pt,EtOH: MeCN(1: 1),nBu4NOAc,0.3 mA
151,GF/Pt,EtOH: MeCN(1: 1),nBu4NOAc,0.9 mA
152,GF/Pt,EtOH: MeCN(1: 1),nBu4NOAc,1.2 mA
153,GF/Pt,EtOH: MeCN(1: 1),nBu4NOAc,1.0 V
154,GF/Pt,EtOH: MeCN(1: 1),nBu4NOAc,1.5 V
155,GF/Pt,EtOH: MeCN(1: 1),nBu4NOAc,0.6 mA
156,GF/Pt,EtOH: MeCN(1: 1),nBu4NPF6,0.3 mA
157,GF/Pt,EtOH: MeCN(1: 1),nBu4NPF6,0.9 mA
158,GF/Pt,EtOH: MeCN(1: 1),nBu4NPF6,1.2 mA
159,GF/Pt,EtOH: MeCN(1: 1),nBu4NPF6,1.0 V
160,GF/Pt,EtOH: MeCN(1: 1),nBu4NPF6,1.5 V
161,GF/Pt,EtOH: MeCN(1: 1),nBu4NPF6,0.6 mA
162,GF/Pt,AcOH,NaOPiv,0.3 mA
163,GF/Pt,AcOH,NaOPiv,0.9 mA
164,GF/Pt,AcOH,NaOPiv,1.2 mA
165,GF/Pt,AcOH,NaOPiv,1.0 V
166,GF/Pt,AcOH,NaOPiv,1.5 V
167,GF/Pt,AcOH,NaOPiv,0.6 mA
168,GF/Pt,AcOH,K3PO4,0.3 mA
169,GF/Pt,AcOH,K3PO4,0.9 mA
170,GF/Pt,AcOH,K3PO4,1.2 mA
171,GF/Pt,AcOH,K3PO4,1.0 V
172,GF/Pt,AcOH,K3PO4,1.5 V
173,GF/Pt,AcOH,K3PO4,0.6 mA
174,GF/Pt,AcOH,KOAc,0.3 mA
175,GF/Pt,AcOH,KOAc,0.9 mA
176,GF/Pt,AcOH,KOAc,1.2 mA
177,GF/Pt,AcOH,KOAc,1.0 V
178,GF/Pt,AcOH,KOAc,1.5 V
179,GF/Pt,AcOH,KOAc,0.6 mA
180,GF/Pt,AcOH,LiClO4,0.3 mA
181,GF/Pt,AcOH,LiClO4,0.9 mA
182,GF/Pt,AcOH,LiClO4,1.2 mA
183,GF/Pt,AcOH,LiClO4,1.0 V
184,GF/Pt,AcOH,LiClO4,1.5 V
185,GF/Pt,AcOH,LiClO4,0.6 mA
186,GF/Pt,AcOH,LiOAc,0.3 mA
187,GF/Pt,AcOH,LiOAc,0.9 mA
188,GF/Pt,AcOH,LiOAc,1.2 mA
189,GF/Pt,AcOH,LiOAc,1.0 V
190,GF/Pt,AcOH,LiOAc,1.5 V
191,GF/Pt,AcOH,LiOAc,0.6 mA
192,GF/Pt,AcOH,NaO2CAd,0.3 mA
193,GF/Pt,AcOH,NaO2CAd,0.9 mA
194,GF/Pt,AcOH,NaO2CAd,1.2 mA
195,GF/Pt,AcOH,NaO2CAd,1.0 V
196,GF/Pt,AcOH,NaO2CAd,1.5 V
197,GF/Pt,AcOH,NaO2CAd,0.6 mA
198,GF/Pt,AcOH,NaOAc,0.3 mA
199,GF/Pt,AcOH,NaOAc,0.9 mA
200,GF/Pt,AcOH,NaOAc,1.2 mA
201,GF/Pt,AcOH,NaOAc,1.0 V
202,GF/Pt,AcOH,NaOAc,1.5 V
203,GF/Pt,AcOH,NaOAc,0.6 mA
204,GF/Pt,AcOH,nBu4NOAc,0.3 mA
205,GF/Pt,AcOH,nBu4NOAc,0.9 mA
206,GF/Pt,AcOH,nBu4NOAc,1.2 mA
207,GF/Pt,AcOH,nBu4NOAc,1.0 V
208,GF/Pt,AcOH,nBu4NOAc,1.5 V
209,GF/Pt,AcOH,nBu4NOAc,0.6 mA
210,GF/Pt,AcOH,nBu4NPF6,0.3 mA
211,GF/Pt,AcOH,nBu4NPF6,0.9 mA
212,GF/Pt,AcOH,nBu4NPF6,1.2 mA
213,GF/Pt,AcOH,nBu4NPF6,1.0 V
214,GF/Pt,AcOH,nBu4NPF6,1.5 V
215,GF/Pt,AcOH,nBu4NPF6,0.6 mA
216,GF/Pt,AcOH: EtOH(1: 1),NaOPiv,0.3 mA
217,GF/Pt,AcOH: EtOH(1: 1),NaOPiv,0.9 mA
218,GF/Pt,AcOH: EtOH(1: 1),NaOPiv,1.2 mA
219,GF/Pt,AcOH: EtOH(1: 1),NaOPiv,1.0 V
220,GF/Pt,AcOH: EtOH(1: 1),NaOPiv,1.5 V
221,GF/Pt,AcOH: EtOH(1: 1),NaOPiv,0.6 mA
222,GF/Pt,AcOH: EtOH(1: 1),K3PO4,0.3 mA
223,GF/Pt,AcOH: EtOH(1: 1),K3PO4,0.9 mA
224,GF/Pt,AcOH: EtOH(1: 1),K3PO4,1.2 mA
225,GF/Pt,AcOH: EtOH(1: 1),K3PO4,1.0 V
226,GF/Pt,AcOH: EtOH(1: 1),K3PO4,1.5 V
227,GF/Pt,AcOH: EtOH(1: 1),K3PO4,0.6 mA
228,GF/Pt,AcOH: EtOH(1: 1),KOAc,0.3 mA
229,GF/Pt,AcOH: EtOH(1: 1),KOAc,0.9 mA
230,GF/Pt,AcOH: EtOH(1: 1),KOAc,1.2 mA
231,GF/Pt,AcOH: EtOH(1: 1),KOAc,1.0 V
232,GF/Pt,AcOH: EtOH(1: 1),KOAc,1.5 V
233,GF/Pt,AcOH: EtOH(1: 1),KOAc,0.6 mA
234,GF/Pt,AcOH: EtOH(1: 1),LiClO4,0.3 mA
235,GF/Pt,AcOH: EtOH(1: 1),LiClO4,0.9 mA
236,GF/Pt,AcOH: EtOH(1: 1),LiClO4,1.2 mA
237,GF/Pt,AcOH: EtOH(1: 1),LiClO4,1.0 V
238,GF/Pt,AcOH: EtOH(1: 1),LiClO4,1.5 V
239,GF/Pt,AcOH: EtOH(1: 1),LiClO4,0.6 mA
240,GF/Pt,AcOH: EtOH(1: 1),LiOAc,0.3 mA
241,GF/Pt,AcOH: EtOH(1: 1),LiOAc,0.9 mA
242,GF/Pt,AcOH: EtOH(1: 1),LiOAc,1.2 mA
243,GF/Pt,AcOH: EtOH(1: 1),LiOAc,1.0 V
244,GF/Pt,AcOH: EtOH(1: 1),LiOAc,1.5 V
245,GF/Pt,AcOH: EtOH(1: 1),LiOAc,0.6 mA
246,GF/Pt,AcOH: EtOH(1: 1),NaO2CAd,0.3 mA
247,GF/Pt,AcOH: EtOH(1: 1),NaO2CAd,0.9 mA
248,GF/Pt,AcOH: EtOH(1: 1),NaO2CAd,1.2 mA
249,GF/Pt,AcOH: EtOH(1: 1),NaO2CAd,1.0 V
250,GF/Pt,AcOH: EtOH(1: 1),NaO2CAd,1.5 V
251,GF/Pt,AcOH: EtOH(1: 1),NaO2CAd,0.6 mA
252,GF/Pt,AcOH: EtOH(1: 1),NaOAc,0.3 mA
253,GF/Pt,AcOH: EtOH(1: 1),NaOAc,0.9 mA
254,GF/Pt,AcOH: EtOH(1: 1),NaOAc,1.2 mA
255,GF/Pt,AcOH: EtOH(1: 1),NaOAc,1.0 V
256,GF/Pt,AcOH: EtOH(1: 1),NaOAc,1.5 V
257,GF/Pt,AcOH: EtOH(1: 1),NaOAc,0.6 mA
258,GF/Pt,AcOH: EtOH(1: 1),nBu4NOAc,0.3 mA
259,GF/Pt,AcOH: EtOH(1: 1),nBu4NOAc,0.9 mA
260,GF/Pt,AcOH: EtOH(1: 1),nBu4NOAc,1.2 mA
261,GF/Pt,AcOH: EtOH(1: 1),nBu4NOAc,1.0 V
262,GF/Pt,AcOH: EtOH(1: 1),nBu4NOAc,1.5 V
263,GF/Pt,AcOH: EtOH(1: 1),nBu4NOAc,0.6 mA
264,GF/Pt,AcOH: EtOH(1: 1),nBu4NPF6,0.3 mA
265,GF/Pt,AcOH: EtOH(1: 1),nBu4NPF6,0.9 mA
266,GF/Pt,AcOH: EtOH(1: 1),nBu4NPF6,1.2 mA
267,GF/Pt,AcOH: EtOH(1: 1),nBu4NPF6,1.0 V
268,GF/Pt,AcOH: EtOH(1: 1),nBu4NPF6,1.5 V
269,GF/Pt,AcOH: EtOH(1: 1),nBu4NPF6,0.6 mA
270,GF/Pt,AcOH: MeCN(1: 1),NaOPiv,0.3 mA
271,GF/Pt,AcOH: MeCN(1: 1),NaOPiv,0.9 mA
272,GF/Pt,AcOH: MeCN(1: 1),NaOPiv,1.2 mA
273,GF/Pt,AcOH: MeCN(1: 1),NaOPiv,1.0 V
274,GF/Pt,AcOH: MeCN(1: 1),NaOPiv,1.5 V
275,GF/Pt,AcOH: MeCN(1: 1),NaOPiv,0.6 mA
276,GF/Pt,AcOH: MeCN(1: 1),K3PO4,0.3 mA
277,GF/Pt,AcOH: MeCN(1: 1),K3PO4,0.9 mA
278,GF/Pt,AcOH: MeCN(1: 1),K3PO4,1.2 mA
279,GF/Pt,AcOH: MeCN(1: 1),K3PO4,1.0 V
280,GF/Pt,AcOH: MeCN(1: 1),K3PO4,1.5 V
281,GF/Pt,AcOH: MeCN(1: 1),K3PO4,0.6 mA
282,GF/Pt,AcOH: MeCN(1: 1),KOAc,0.3 mA
283,GF/Pt,AcOH: MeCN(1: 1),KOAc,0.9 mA
284,GF/Pt,AcOH: MeCN(1: 1),KOAc,1.2 mA
285,GF/Pt,AcOH: MeCN(1: 1),KOAc,1.0 V
286,GF/Pt,AcOH: MeCN(1: 1),KOAc,1.5 V
287,GF/Pt,AcOH: MeCN(1: 1),KOAc,0.6 mA
288,GF/Pt,AcOH: MeCN(1: 1),LiClO4,0.3 mA
289,GF/Pt,AcOH: MeCN(1: 1),LiClO4,0.9 mA
290,GF/Pt,AcOH: MeCN(1: 1),LiClO4,1.2 mA
291,GF/Pt,AcOH: MeCN(1: 1),LiClO4,1.0 V
292,GF/Pt,AcOH: MeCN(1: 1),LiClO4,1.5 V
293,GF/Pt,AcOH: MeCN(1: 1),LiClO4,0.6 mA
294,GF/Pt,AcOH: MeCN(1: 1),LiOAc,0.3 mA
295,GF/Pt,AcOH: MeCN(1: 1),LiOAc,0.9 mA
296,GF/Pt,AcOH: MeCN(1: 1),LiOAc,1.2 mA
297,GF/Pt,AcOH: MeCN(1: 1),LiOAc,1.0 V
298,GF/Pt,AcOH: MeCN(1: 1),LiOAc,1.5 V
299,GF/Pt,AcOH: MeCN(1: 1),LiOAc,0.6 mA
300,GF/Pt,AcOH: MeCN(1: 1),NaO2CAd,0.3 mA
301,GF/Pt,AcOH: MeCN(1: 1),NaO2CAd,0.9 mA
302,GF/Pt,AcOH: MeCN(1: 1),NaO2CAd,1.2 mA
303,GF/Pt,AcOH: MeCN(1: 1),NaO2CAd,1.0 V
304,GF/Pt,AcOH: MeCN(1: 1),NaO2CAd,1.5 V
305,GF/Pt,AcOH: MeCN(1: 1),NaO2CAd,0.6 mA
306,GF/Pt,AcOH: MeCN(1: 1),NaOAc,0.3 mA
307,GF/Pt,AcOH: MeCN(1: 1),NaOAc,0.9 mA
308,GF/Pt,AcOH: MeCN(1: 1),NaOAc,1.2 mA
309,GF/Pt,AcOH: MeCN(1: 1),NaOAc,1.0 V
310,GF/Pt,AcOH: MeCN(1: 1),NaOAc,1.5 V
311,GF/Pt,AcOH: MeCN(1: 1),NaOAc,0.6 mA
312,GF/Pt,AcOH: MeCN(1: 1),nBu4NOAc,0.3 mA
313,GF/Pt,AcOH: MeCN(1: 1),nBu4NOAc,0.9 mA
314,GF/Pt,AcOH: MeCN(1: 1),nBu4NOAc,1.2 mA
315,GF/Pt,AcOH: MeCN(1: 1),nBu4NOAc,1.0 V
316,GF/Pt,AcOH: MeCN(1: 1),nBu4NOAc,1.5 V
317,GF/Pt,AcOH: MeCN(1: 1),nBu4NOAc,0.6 mA
318,GF/Pt,AcOH: MeCN(1: 1),nBu4NPF6,0.3 mA
319,GF/Pt,AcOH: MeCN(1: 1),nBu4NPF6,0.9 mA
320,GF/Pt,AcOH: MeCN(1: 1),nBu4NPF6,1.2 mA
321,GF/Pt,AcOH: MeCN(1: 1),nBu4NPF6,1.0 V
322,GF/Pt,AcOH: MeCN(1: 1),nBu4NPF6,1.5 V
323,GF/Pt,AcOH: MeCN(1: 1),nBu4NPF6,0.6 mA
324,GF/Pt,MeCN,NaOPiv,0.3 mA
325,GF/Pt,MeCN,NaOPiv,0.9 mA
326,GF/Pt,MeCN,NaOPiv,1.2 mA
327,GF/Pt,MeCN,NaOPiv,1.0 V
328,GF/Pt,MeCN,NaOPiv,1.5 V
329,GF/Pt,MeCN,NaOPiv,0.6 mA
330,GF/Pt,MeCN,K3PO4,0.3 mA
331,GF/Pt,MeCN,K3PO4,0.9 mA
332,GF/Pt,MeCN,K3PO4,1.2 mA
333,GF/Pt,MeCN,K3PO4,1.0 V
334,GF/Pt,MeCN,K3PO4,1.5 V
335,GF/Pt,MeCN,K3PO4,0.6 mA
336,GF/Pt,MeCN,KOAc,0.3 mA
337,GF/Pt,MeCN,KOAc,0.9 mA
338,GF/Pt,MeCN,KOAc,1.2 mA
339,GF/Pt,MeCN,KOAc,1.0 V
340,GF/Pt,MeCN,KOAc,1.5 V
341,GF/Pt,MeCN,KOAc,0.6 mA
342,GF/Pt,MeCN,LiClO4,0.3 mA
343,GF/Pt,MeCN,LiClO4,0.9 mA
344,GF/Pt,MeCN,LiClO4,1.2 mA
345,GF/Pt,MeCN,LiClO4,1.0 V
346,GF/Pt,MeCN,LiClO4,1.5 V
347,GF/Pt,MeCN,LiClO4,0.6 mA
348,GF/Pt,MeCN,LiOAc,0.3 mA
349,GF/Pt,MeCN,LiOAc,0.9 mA
350,GF/Pt,MeCN,LiOAc,1.2 mA
351,GF/Pt,MeCN,LiOAc,1.0 V
352,GF/Pt,MeCN,LiOAc,1.5 V
353,GF/Pt,MeCN,LiOAc,0.6 mA
354,GF/Pt,MeCN,NaO2CAd,0.3 mA
355,GF/Pt,MeCN,NaO2CAd,0.9 mA
356,GF/Pt,MeCN,NaO2CAd,1.2 mA
357,GF/Pt,MeCN,NaO2CAd,1.0 V
358,GF/Pt,MeCN,NaO2CAd,1.5 V
359,GF/Pt,MeCN,NaO2CAd,0.6 mA
360,GF/Pt,MeCN,NaOAc,0.3 mA
361,GF/Pt,MeCN,NaOAc,0.9 mA
362,GF/Pt,MeCN,NaOAc,1.2 mA
363,GF/Pt,MeCN,NaOAc,1.0 V
364,GF/Pt,MeCN,NaOAc,1.5 V
365,GF/Pt,MeCN,NaOAc,0.6 mA
366,GF/Pt,MeCN,nBu4NOAc,0.3 mA
367,GF/Pt,MeCN,nBu4NOAc,0.9 mA
368,GF/Pt,MeCN,nBu4NOAc,1.2 mA
369,GF/Pt,MeCN,nBu4NOAc,1.0 V
370,GF/Pt,MeCN,nBu4NOAc,1.5 V
371,GF/Pt,MeCN,nBu4NOAc,0.6 mA
372,GF/Pt,MeCN,nBu4NPF6,0.3 mA
373,GF/Pt,MeCN,nBu4NPF6,0.9 mA
374,GF/Pt,MeCN,nBu4NPF6,1.2 mA
375,GF/Pt,MeCN,nBu4NPF6,1.0 V
376,GF/Pt,MeCN,nBu4NPF6,1.5 V
377,GF/Pt,MeCN,nBu4NPF6,0.6 mA
378,GF/Pt,TFE,NaOPiv,0.3 mA
379,GF/Pt,TFE,NaOPiv,0.9 mA
380,GF/Pt,TFE,NaOPiv,1.2 mA
381,GF/Pt,TFE,NaOPiv,1.0 V
382,GF/Pt,TFE,NaOPiv,1.5 V
383,GF/Pt,TFE,NaOPiv,0.6 mA
384,GF/Pt,TFE,K3PO4,0.3 mA
385,GF/Pt,TFE,K3PO4,0.9 mA
386,GF/Pt,TFE,K3PO4,1.2 mA
387,GF/Pt,TFE,K3PO4,1.0 V
388,GF/Pt,TFE,K3PO4,1.5 V
389,GF/Pt,TFE,K3PO4,0.6 mA
390,GF/Pt,TFE,KOAc,0.3 mA
391,GF/Pt,TFE,KOAc,0.9 mA
392,GF/Pt,TFE,KOAc,1.2 mA
393,GF/Pt,TFE,KOAc,1.0 V
394,GF/Pt,TFE,KOAc,1.5 V
395,GF/Pt,TFE,KOAc,0.6 mA
396,GF/Pt,TFE,LiClO4,0.3 mA
397,GF/Pt,TFE,LiClO4,0.9 mA
398,GF/Pt,TFE,LiClO4,1.2 mA
399,GF/Pt,TFE,LiClO4,1.0 V
400,GF/Pt,TFE,LiClO4,1.5 V
401,GF/Pt,TFE,LiClO4,0.6 mA
402,GF/Pt,TFE,LiOAc,0.3 mA
403,GF/Pt,TFE,LiOAc,0.9 mA
404,GF/Pt,TFE,LiOAc,1.2 mA
405,GF/Pt,TFE,LiOAc,1.0 V
406,GF/Pt,TFE,LiOAc,1.5 V
407,GF/Pt,TFE,LiOAc,0.6 mA
408,GF/Pt,TFE,NaO2CAd,0.3 mA
409,GF/Pt,TFE,NaO2CAd,0.9 mA
410,GF/Pt,TFE,NaO2CAd,1.2 mA
411,GF/Pt,TFE,NaO2CAd,1.0 V
412,GF/Pt,TFE,NaO2CAd,1.5 V
413,GF/Pt,TFE,NaO2CAd,0.6 mA
414,GF/Pt,TFE,NaOAc,0.3 mA
415,GF/Pt,TFE,NaOAc,0.9 mA
416,GF/Pt,TFE,NaOAc,1.2 mA
417,GF/Pt,TFE,NaOAc,1.0 V
418,GF/Pt,TFE,NaOAc,1.5 V
419,GF/Pt,TFE,NaOAc,0.6 mA
420,GF/Pt,TFE,nBu4NOAc,0.3 mA
421,GF/Pt,TFE,nBu4NOAc,0.9 mA
422,GF/Pt,TFE,nBu4NOAc,1.2 mA
423,GF/Pt,TFE,nBu4NOAc,1.0 V
424,GF/Pt,TFE,nBu4NOAc,1.5 V
425,GF/Pt,TFE,nBu4NOAc,0.6 mA
426,GF/Pt,TFE,nBu4NPF6,0.3 mA
427,GF/Pt,TFE,nBu4NPF6,0.9 mA
428,GF/Pt,TFE,nBu4NPF6,1.2 mA
429,GF/Pt,TFE,nBu4NPF6,1.0 V
430,GF/Pt,TFE,nBu4NPF6,1.5 V
